313,Feijoal (Benjamin Constant),feijoal-benjamin-constant,AM
314,Vila de Campinas (Manacapuru),vila-de-campinas-manacapuru,AM
315,Itacoatiara,itacoatiara,AM
316,Careiro,careiro,AM
317,Silves,silves,AM
318,Ipixuna,ipixuna,AM
319,Maraã,maraa,AM
320,Augusto Montenegro (Urucurituba),augusto-montenegro-urucurituba,AM
321,Santa Isabel do Rio Negro,santa-isabel-do-rio-negro,AM
322,Palmeiras (Tabatinga),palmeiras-tabatinga,AM
323,Paricatuba (Iranduba),paricatuba-iranduba,AM
324,Terra Nova (Careiro),terra-nova-careiro,AM
325,Itapiranga,itapiranga,AM
326,Limoeiro (Japurá),limoeiro-japura,AM
327,Maués,maues,AM
328,São Felipe (São Gabriel da Cachoeira),sao-felipe-sao-gabriel-da-cachoeira,AM
329,Iranduba,iranduba,AM
330,Careiro da Várzea,careiro-da-varzea,AM
331,São Sebastião do Uatumã,sao-sebastiao-do-uatuma,AM
332,Atalaia do Norte,atalaia-do-norte,AM
333,Carauari,carauari,AM
334,Repartimento (Maués),repartimento-maues,AM
335,Cucuí (São Gabriel da Cachoeira),cucui-sao-gabriel-da-cachoeira,AM
336,Caapiranga,caapiranga,AM
337,Apuí,apui,AM
338,Nhamundá,nhamunda,AM
339,Jutaí,jutai,AM
340,Cantanzal (Macapá),cantanzal-macapa,AP
341,Sucuriju (Amapá),sucuriju-amapa,AP
342,Ambé (Macapá),ambe-macapa,AP
343,Ferreira Gomes,ferreira-gomes,AP
344,Cunani (Calçoene),cunani-calcoene,AP
345,Carmo (Macapá),carmo-macapa,AP
346,Pracuúba,pracuuba,AP
347,Cutias,cutias,AP
348,Santa Maria (Macapá),santa-maria-macapa,AP
349,Boca do Jari (Laranjal do Jari),boca-do-jari-laranjal-do-jari,AP
350,Oiapoque,oiapoque,AP
351,Abacate da Pedreira (Macapá),abacate-da-pedreira-macapa,AP
352,Santana,santana,AP
353,Vila Velha (Oiapoque),vila-velha-oiapoque,AP
354,São Joaquim do Pacuí (Macapá),sao-joaquim-do-pacui-macapa,AP
355,Ilha de Santana (Santana),ilha-de-santana-santana,AP
356,Aporema (Tartarugalzinho),aporema-tartarugalzinho,AP
357,São Sebastião do Livramento (Macapá),sao-sebastiao-do-livramento-macapa,AP
358,Mazagão,mazagao,AP
359,Gurupora (Macapá),gurupora-macapa,AP
360,Pedra Branca do Amaparí,pedra-branca-do-amapari,AP
361,Inajá (Macapá),inaja-macapa,AP
362,Amapá,amapa,AP
363,Bailique (Macapá),bailique-macapa,AP
364,Calçoene,calcoene,AP
365,Ariri (Macapá),ariri-macapa,AP
366,Paredão (Ferreira Gomes),paredao-ferreira-gomes,AP
367,Lourenço (Calçoene),lourenco-calcoene,AP
368,Gaivota (Macapá),gaivota-macapa,AP
369,Laranjal do Jari,laranjal-do-jari,AP
370,Itaubal,itaubal,AP
371,Curiaú (Macapá),curiau-macapa,AP
372,Vitória do Jari,vitoria-do-jari,AP
373,Clevelândia do Norte (Oiapoque),clevelandia-do-norte-oiapoque,AP
374,Livramento do Pacuí (Macapá),livramento-do-pacui-macapa,AP
375,Igarapé do Lago (Santana),igarape-do-lago-santana,AP
376,Tartarugalzinho,tartarugalzinho,AP
377,Santa Luzia do Pacuí (Macapá),santa-luzia-do-pacui-macapa,AP
378,Macapá,macapa,AP
379,Fortaleza (Santana),fortaleza-santana,AP
380,Porto Grande,porto-grande,AP
381,Corre Água (Macapá),corre-agua-macapa,AP
382,Mazagão Velho (Mazagão),mazagao-velho-mazagao,AP
383,São Tomé (Macapá),sao-tome-macapa,AP
384,Serra do Navio,serra-do-navio,AP
385,Bonfim da Feira (Feira de Santana),bonfim-da-feira-feira-de-santana,BA
386,Laje do Banco (Aurelino Leal),laje-do-banco-aurelino-leal,BA
387,Lapão,lapao,BA
388,Contendas do Sincorá,contendas-do-sincora,BA
389,São José da Vitória,sao-jose-da-vitoria,BA
390,Aramari,aramari,BA
391,Filadélfia,filadelfia,BA
392,Caldeiras (Caetité),caldeiras-caetite,BA
393,Igrapiúna,igrapiuna,BA
394,Simões Filho,simoes-filho,BA
395,Porto Novo (Santana),porto-novo-santana,BA
396,Jaguarari,jaguarari,BA
397,Nova Fátima,nova-fatima,BA
398,Marcolino Moura (Rio de Contas),marcolino-moura-rio-de-contas,BA
399,Tartaruga (Milagres),tartaruga-milagres,BA
400,Ibitunane (Gentio do Ouro),ibitunane-gentio-do-ouro,BA
401,Teofilândia,teofilandia,BA
402,Pirajuia (Jaguaripe),pirajuia-jaguaripe,BA
403,Posto da Mata (Nova Viçosa),posto-da-mata-nova-vicosa,BA
404,Florestal (Jequié),florestal-jequie,BA
405,Muquém de São Francisco,muquem-de-sao-francisco,BA
406,Sátiro Dias,satiro-dias,BA
407,Cachoeira,cachoeira,BA
408,Caraiva (Porto Seguro),caraiva-porto-seguro,BA
409,Abelhas (Vitória da Conquista),abelhas-vitoria-da-conquista,BA
410,Tapiraípe (Ruy Barbosa),tapiraipe-ruy-barbosa,BA
411,Rio Real,rio-real,BA
412,Lagoa Grande (Ibipeba),lagoa-grande-ibipeba,BA
413,Bastião (Boninal),bastiao-boninal,BA
414,Água Fria,agua-fria,BA
415,Menino Jesus (Candeias),menino-jesus-candeias,BA
416,Barro Preto,barro-preto,BA
417,Dias Coelho (Morro do Chapéu),dias-coelho-morro-do-chapeu,BA
418,Matina,matina,BA
419,Piabanha (Maraú),piabanha-marau,BA
420,Cristópolis,cristopolis,BA
421,Quixabeira,quixabeira,BA
422,Jacaraci,jacaraci,BA
423,Valença,valenca,BA
424,Monte Gordo (Camaçari),monte-gordo-camacari,BA
425,Bom Jesus da Lapa,bom-jesus-da-lapa,BA
426,Abóbora (Juazeiro),abobora-juazeiro,BA
427,Dom Macedo Costa,dom-macedo-costa,BA
428,Santo Antônio (Teixeira de Freitas),santo-antonio-teixeira-de-freitas,BA
429,Iguaí,iguai,BA
430,Imbassaí (Mata de São João),imbassai-mata-de-sao-joao,BA
431,Sento Sé,sento-se,BA
433,Guaí (Maragogipe),guai-maragogipe,BA
434,Canavieiras,canavieiras,BA
435,Camaçari,camacari,BA
436,Cândido Sales,candido-sales,BA
437,Itaberaba,itaberaba,BA
438,Paripiranga,paripiranga,BA
439,Inhata (Amélia Rodrigues),inhata-amelia-rodrigues,BA
440,Ibicaraí,ibicarai,BA
441,Morrinhos (Feira de Santana),morrinhos-feira-de-santana,BA
442,Uruçuca,urucuca,BA
443,Belo Campo (América Dourada),belo-campo-america-dourada,BA
444,Ituaçu,ituacu,BA
445,Delfino (Campo Formoso),delfino-campo-formoso,BA
446,Guanambi,guanambi,BA
447,Barcelos do Sul (Camamu),barcelos-do-sul-camamu,BA
448,Serra Dourada,serra-dourada,BA
449,Núcleo Residencial Pilar (Jaguarari),nucleo-residencial-pilar-jaguarari,BA
450,Gavião,gaviao,BA
451,Érico Cardoso,erico-cardoso,BA
452,Brejões,brejoes,BA
453,Mimoso (Sátiro Dias),mimoso-satiro-dias,BA
454,Paratinga,paratinga,BA
455,Tucano,tucano,BA
456,Aratuípe,aratuipe,BA
457,Taquarinha (Mucuri),taquarinha-mucuri,BA
458,Barra Avenida (Jequié),barra-avenida-jequie,BA
459,Santa Rita de Cássia,santa-rita-de-cassia,BA
460,Euclides da Cunha,euclides-da-cunha,BA
461,Belém da Cachoeira (Cachoeira),belem-da-cachoeira-cachoeira,BA
462,Gabiarra (Eunápolis),gabiarra-eunapolis,BA
463,Lagoa de Melquíades (Vitória da Conquista),lagoa-de-melquiades-vitoria-da-conquista,BA
464,Utinga,utinga,BA
465,Itamira (Aporá),itamira-apora,BA
466,Guiné (Mucugê),guine-mucuge,BA
467,Entre Rios,entre-rios,BA
468,Passagem dos Teixeiras (Candeias),passagem-dos-teixeiras-candeias,BA
469,Bandeira do Almada (Itajuípe),bandeira-do-almada-itajuipe,BA
470,Tamburil (Morro do Chapéu),tamburil-morro-do-chapeu,BA
471,Macaúbas,macaubas,BA
472,Taboquinhas (Itacaré),taboquinhas-itacare,BA
473,Riachão das Neves,riachao-das-neves,BA
474,Ourolândia,ourolandia,BA
475,Paiol (Jacaraci),paiol-jacaraci,BA
476,Guerém (Valença),guerem-valenca,BA
477,Barra do Pojuca (Camaçari),barra-do-pojuca-camacari,BA
478,Gameleira da Lapa (Sítio do Mato),gameleira-da-lapa-sitio-do-mato,BA
479,Massaroca (Juazeiro),massaroca-juazeiro,BA
480,Taboleiro do Castro (Varzedo),taboleiro-do-castro-varzedo,BA
481,Itaquaraí (Brumado),itaquarai-brumado,BA
482,Ibicuí,ibicui,BA
483,Piçarrão (Sento Sé),picarrao-sento-se,BA
484,Abaré,abare,BA
485,São Roque do Paraguaçu (Maragogipe),sao-roque-do-paraguacu-maragogipe,BA
486,Ouricana (Canavieiras),ouricana-canavieiras,BA
487,Quaraçu (Cândido Sales),quaracu-candido-sales,BA
488,Várzea do Caldas (Seabra),varzea-do-caldas-seabra,BA
489,Ribeira do Amparo,ribeira-do-amparo,BA
